AUTHOR_ID,TOTAL_ROYALE
238-95-7766,110.160000000000
998-72-3567,88.456000000000
807-91-6654,83.800000000000
899-46-2035,78.132000000000
427-17-2319,50.000000000000
846-92-7186,50.000000000000
213-46-8915,37.110000000000
648-92-1872,33.460000000000
756-30-7391,32.385000000000
172-32-1176,29.985000000000
274-80-9391,29.985000000000
724-80-9391,28.720000000000
712-45-1867,23.988000000000
722-51-5454,21.528000000000
267-41-2394,20.944000000000
486-29-1786,19.975000000000
409-56-7008,17.991000000000
672-71-3249,11.992000000000
472-27-2349,8.994000000000
